CATALOG NUMBER,IDENTIFICATION,COUNTRY,STATE,COUNTY,PRECISE LOCALITY,COLLECTOR(S),COLLECTING DATE,SEX,PREPS
M-173809,Sciurus nayaritensis chiricahue,USA,Arizona,Cochise Co.,0.25 miles west  of Southwestern Research Station,John W. Hardy,10-Jun-56,Male,"Skull
Skin "
M-173826,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,1 mile east of Southwestern Research Station,W. C. Miller,3-Jun-56,Female,"Skin
Skull "
M-173815,Tamias dorsalis dorsalis,USA,Arizona,Cochise Co.,"1 mile east of Southwestern Research Station, 5150 ft",Paul S. Martin,4-Jul-56,Male,"Skull
Skin "
M-173807,Spermophilus variegatus grammusus,USA,Arizona,Cochise Co.,"1 mile east of Southwestern Research Station, Road past Maloney Ranch",John W. Hardy,18-Jul-56,Sex Unknown,"Skin
Skull "
M-173694,Myotis velifer brevis,USA,Arizona,Cochise Co.,1 mile north of Paradise,"P. S
M. Martin",8-Aug-56,Male,"Skull
Skin "
M-173664,Choeronycteris mexicana,USA,Arizona,Cochise Co.,"1 mile north of Paradise, 5300 ft",E. L. Cockrum,22-Jul-56,Male,"Skull
Skin "
M-207619,Tamias dorsalis dorsalis,USA,Arizona,Cochise Co.,1 mile south of Onion Saddle,Sydney Anderson,7-Jul-64,Female,"Skull
Skin
Skeleton "
M-207620,Tamias dorsalis dorsalis,USA,Arizona,Cochise Co.,1 mile south of Onion Saddle,Sydney Anderson,7-Jul-64,Female,"Skull
Skin
Skeleton "
M-207621,Tamias dorsalis dorsalis,USA,Arizona,Cochise Co.,1 mile south of Onion Saddle,Sydney Anderson,7-Jul-64,Male,"Skeleton
Skin
Skull "
M-207654,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,"1 mile south of Onion Saddle, Chiricahua Mountains",Sydney Anderson,7-Jul-64,Male,"Skeleton
Skin
Skull "
M-207655,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,"1 mile south of Onion Saddle, Chiricahua Mountains",Sydney Anderson,7-Jul-64,Male,"Skeleton
Skin
Skull "
M-207656,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,"1 mile south of Onion Saddle, Chiricahua Mountains",Sydney Anderson,7-Jul-64,Female,"Skull
Skeleton "
M-207657,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,"1 mile south of Onion Saddle, Chiricahua Mountains",Sydney Anderson,7-Jul-64,Female,"Skeleton
Skull "
M-207658,Peromyscus difficilis nasutus,USA,Arizona,Cochise Co.,"1 mile south of Onion Saddle, Chiricahua Mountains",Sydney Anderson,7-Jul-64,Male,"Skeleton
Skull
Skin "
M-207659,Peromyscus difficilis nasutus,USA,Arizona,Cochise Co.,"1 mile south of Onion Saddle, Chiricahua Mountains",Sydney Anderson,7-Jul-64,Male,"Skin
Skull
Skeleton "
M-207660,Peromyscus difficilis nasutus,USA,Arizona,Cochise Co.,"1 mile south of Onion Saddle, Chiricahua Mountains",Sydney Anderson,7-Jul-64,Female,"Skin
Skull
Skeleton "
M-207661,Peromyscus difficilis nasutus,USA,Arizona,Cochise Co.,"1 mile south of Onion Saddle, Chiricahua Mountains",Sydney Anderson,7-Jul-64,Male,"Skeleton
Skull
Skin "
M-207662,Peromyscus difficilis nasutus,USA,Arizona,Cochise Co.,"1 mile south of Onion Saddle, Chiricahua Mountains",Sydney Anderson,7-Jul-64,Male,"Skeleton
Skin
Skull "
M-207663,Peromyscus difficilis nasutus,USA,Arizona,Cochise Co.,"1 mile south of Onion Saddle, Chiricahua Mountains",Sydney Anderson,7-Jul-64,Female,"Skin
Skeleton
Skull "
M-207664,Peromyscus difficilis nasutus,USA,Arizona,Cochise Co.,"1 mile south of Onion Saddle, Chiricahua Mountains",Sydney Anderson,7-Jul-64,Male,"Skull
Skeleton
Skin "
