OID_,OID1,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order_,family,genus,genus_mdd,species,species_mdd,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,Z
2990,,665769714,41fc5c40-5e81-496f-9733-6b5681b3b7a5,6a00ba22-7c67-4512-9b86-c69615cb1a5d,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus,Eptesicus fuscus,Eptesicus fuscus,pallidus,SUBSPECIES,"""Eptesicus fuscus pallidus Young, 1908""",Eptesicus fuscus pallidus,,US,Chiricahua Mts,Arizona,PRESENT,,7b8aff00-a9f8-11d8-944b-b8a03c50a862,31.929791,-109.382317,,,,,,,1894-06-29 0:00:00,29,6,1894,4265985,2432352,PRESERVED_SPECIMEN,FMNH,Mammals,1055,984,,,CC0_1_0,The Field Museum of Natural History,W. W. Price,,,2023-09-27T15:57:40.069Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,2013
2991,,665769713,41fc5c40-5e81-496f-9733-6b5681b3b7a5,ebb58533-bc65-4d27-ba02-3025b6fa8a88,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus,Eptesicus fuscus,Eptesicus fuscus,pallidus,SUBSPECIES,"""Eptesicus fuscus pallidus Young, 1908""",Eptesicus fuscus pallidus,,US,Chiricahua Mts,Arizona,PRESENT,,7b8aff00-a9f8-11d8-944b-b8a03c50a862,31.929791,-109.382317,,,,,,,1894-06-09 0:00:00,9,6,1894,4265985,2432352,PRESERVED_SPECIMEN,FMNH,Mammals,1054,852,,,CC0_1_0,The Field Museum of Natural History,W. W. Price,,,2023-09-27T15:57:51.069Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,2013
2992,,665769712,41fc5c40-5e81-496f-9733-6b5681b3b7a5,64051107-3f95-4bdb-ba3c-47c4fba20afa,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus,Eptesicus fuscus,Eptesicus fuscus,pallidus,SUBSPECIES,"""Eptesicus fuscus pallidus Young, 1908""",Eptesicus fuscus pallidus,,US,Chiricahua Mts,Arizona,PRESENT,,7b8aff00-a9f8-11d8-944b-b8a03c50a862,31.929791,-109.382317,,,,,,,1894-07-06 0:00:00,6,7,1894,4265985,2432352,PRESERVED_SPECIMEN,FMNH,Mammals,1053,1062,,,CC0_1_0,The Field Museum of Natural History,B. C. Condit,,,2023-09-27T15:57:48.831Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,2013
2993,,665769711,41fc5c40-5e81-496f-9733-6b5681b3b7a5,78640602-3e9e-4f8d-ba9d-49bf5b5a352f,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus,Eptesicus fuscus,Eptesicus fuscus,pallidus,SUBSPECIES,"""Eptesicus fuscus pallidus Young, 1908""",Eptesicus fuscus pallidus,,US,Chiricahua Mts,Arizona,PRESENT,,7b8aff00-a9f8-11d8-944b-b8a03c50a862,31.929791,-109.382317,,,,,,,1894-07-03 0:00:00,3,7,1894,4265985,2432352,PRESERVED_SPECIMEN,FMNH,Mammals,1052,1040,,,CC0_1_0,The Field Museum of Natural History,B. C. Condit,,,2023-09-27T15:57:48.631Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,2013
2994,,665769710,41fc5c40-5e81-496f-9733-6b5681b3b7a5,e97072cd-039b-4aa7-a5f9-9f26017a1be8,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus,Eptesicus fuscus,Eptesicus fuscus,pallidus,SUBSPECIES,"""Eptesicus fuscus pallidus Young, 1908""",Eptesicus fuscus pallidus,,US,Chiricahua Mts,Arizona,PRESENT,,7b8aff00-a9f8-11d8-944b-b8a03c50a862,31.929791,-109.382317,,,,,,,1894-06-26 0:00:00,26,6,1894,4265985,2432352,PRESERVED_SPECIMEN,FMNH,Mammals,1051,923,,,CC0_1_0,The Field Museum of Natural History,W. W. Price,,,2023-09-27T15:57:51.046Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,2013
2995,,665769709,41fc5c40-5e81-496f-9733-6b5681b3b7a5,53b84410-ed59-4db0-bc98-6077a4ff0a1a,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus,Eptesicus fuscus,Eptesicus fuscus,pallidus,SUBSPECIES,"""Eptesicus fuscus pallidus Young, 1908""",Eptesicus fuscus pallidus,,US,Chiricahua Mts,Arizona,PRESENT,,7b8aff00-a9f8-11d8-944b-b8a03c50a862,31.929791,-109.382317,,,,,,,1894-06-29 0:00:00,29,6,1894,4265985,2432352,PRESERVED_SPECIMEN,FMNH,Mammals,1050,986,,,CC0_1_0,The Field Museum of Natural History,W. W. Price,,,2023-09-27T15:57:47.834Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,2013
2996,,665769708,41fc5c40-5e81-496f-9733-6b5681b3b7a5,97bf461c-4c79-4853-aa5a-feded0f6ebbc,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus,Eptesicus fuscus,Eptesicus fuscus,pallidus,SUBSPECIES,"""Eptesicus fuscus pallidus Young, 1908""",Eptesicus fuscus pallidus,,US,Chiricahua Mts,Arizona,PRESENT,,7b8aff00-a9f8-11d8-944b-b8a03c50a862,31.929791,-109.382317,,,,,,,1894-06-22 0:00:00,22,6,1894,4265985,2432352,PRESERVED_SPECIMEN,FMNH,Mammals,1049,886,,,CC0_1_0,The Field Museum of Natural History,W. W. Price,,,2023-09-27T15:57:43.199Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,2013
2997,,665769706,41fc5c40-5e81-496f-9733-6b5681b3b7a5,0045447e-794f-42b1-9a27-e8bd1ae2f10d,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus,Eptesicus fuscus,Eptesicus fuscus,pallidus,SUBSPECIES,"""Eptesicus fuscus pallidus Young, 1908""",Eptesicus fuscus pallidus,,US,Chiricahua Mts,Arizona,PRESENT,,7b8aff00-a9f8-11d8-944b-b8a03c50a862,31.929791,-109.382317,,,,,,,1894-06-23 0:00:00,23,6,1894,4265985,2432352,PRESERVED_SPECIMEN,FMNH,Mammals,1048,901,,,CC0_1_0,The Field Museum of Natural History,W. W. Price,,,2023-09-27T15:57:45.309Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,2013
2998,,665769704,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fd106c9d-c70f-4cd1-b968-e541ed8e99d9,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus,Eptesicus fuscus,Eptesicus fuscus,pallidus,SUBSPECIES,"""Eptesicus fuscus pallidus Young, 1908""",Eptesicus fuscus pallidus,,US,Chiricahua Mts,Arizona,PRESENT,,7b8aff00-a9f8-11d8-944b-b8a03c50a862,31.929791,-109.382317,,,,,,,1894-06-28 0:00:00,28,6,1894,4265985,2432352,PRESERVED_SPECIMEN,FMNH,Mammals,1047,972,,,CC0_1_0,The Field Museum of Natural History,W. W. Price,,,2023-09-27T15:57:45.160Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,2013
2999,,665769703,41fc5c40-5e81-496f-9733-6b5681b3b7a5,08a870dd-6550-4263-8ba8-516dc0fa3bac,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus,Eptesicus fuscus,Eptesicus fuscus,pallidus,SUBSPECIES,"""Eptesicus fuscus pallidus Young, 1908""",Eptesicus fuscus pallidus,,US,Chiricahua Mts,Arizona,PRESENT,,7b8aff00-a9f8-11d8-944b-b8a03c50a862,31.929791,-109.382317,,,,,,,1894-06-24 0:00:00,24,6,1894,4265985,2432352,PRESERVED_SPECIMEN,FMNH,Mammals,1046,915,,,CC0_1_0,The Field Museum of Natural History,W. W. Price,,,2023-09-27T15:57:32.942Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,2013
