OID_,OID1,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order_,family,genus,genus_mdd,species,species_mdd,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,Z
120,,2381394524,a9ae9ece-e753-4fb9-8595-a37d0f5aa59c,urn:catalog:SDNHM:Mammals:9296,Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,Sorex,Sorex,Sorex monticolus,Sorex monticolus,,SPECIES,"""Sorex monticolus Merriam, 1890""",Sorex monticolus,,US,"""Chiricahua Mts., Rustler Park""",Arizona,PRESENT,,8a471700-4ce8-11db-b80e-b8a03c50a862,31.9035,-109.28,,,,,,,7/3/1931 0:00,3,7,1931,2436019,2436019,PRESERVED_SPECIMEN,SDNHM,Mammals,9296,,,,CC0_1_0,,"""J. W. Sefton, L. M. Huey""",,Native,2023-09-07T09:44:11.637Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH,2579
332,,1897608665,4a3421d3-e83f-4d30-b0b9-6658c9f047b6,f83f184bee014aa8a0b027affa40bd08,Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,Sorex,Sorex,Sorex monticolus,Sorex monticolus,monticolus,SUBSPECIES,Sorex monticolus monticolus,Sorex monticolus subsp. monticolus,"""Merriam, 1890""",US,"""Marijilda Canyon, Graham Mts.""",Arizona,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,32.6815,-109.8184,,,0,0,0,0,7/3/1931 0:00,3,7,1931,7194087,2436019,PRESERVED_SPECIMEN,MVZ-UCB,MVZ,50247,,"""E. Raymond Hall, James L. Patton""",,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Annie M. Alexander,,,2023-09-07T05:03:59.951Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,1759
906,,1145842104,0daed095-478a-4af6-abf5-18acb790fbb2,http://arctos.database.museum/guid/MVZ:Mamm:50247?seid=1708808,Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,Sorex,Sorex,Sorex monticolus,Sorex monticolus,monticolus,SUBSPECIES,Sorex monticolus monticolus,Sorex monticola monticola,,US,"""Marijilda Canyon, Graham Mts.""",Arizona,PRESENT,,8edbbde0-055e-11d8-b850-b8a03c50a862,32.6815585,-109.8188287,5003,,2621,0,,,7/3/1931 0:00,3,7,1931,7194087,2436019,PRESERVED_SPECIMEN,MVZ,Mamm,MVZ:Mamm:50247,Annie M. Alexander 924,James L. Patton,8/21/2020 0:00,CC0_1_0,,Collector(s): Annie M. Alexander,HOLOTYPE,,2023-12-28T00:40:55.228Z,StillImage,COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,1779
908,,1145842095,0daed095-478a-4af6-abf5-18acb790fbb2,http://arctos.database.museum/guid/MVZ:Mamm:50245?seid=1014560,Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,Sorex,Sorex,Sorex monticolus,Sorex monticolus,monticolus,SUBSPECIES,Sorex monticolus monticolus,Sorex monticola monticola,,US,"""Marijilda Canyon, Graham Mts.""",Arizona,PRESENT,,8edbbde0-055e-11d8-b850-b8a03c50a862,32.6815585,-109.8188287,5003,,2621,0,,,7/2/1931 0:00,2,7,1931,7194087,2436019,PRESERVED_SPECIMEN,MVZ,Mamm,MVZ:Mamm:50245,Annie M. Alexander 922,James L. Patton,8/21/2020 0:00,CC0_1_0,,Collector(s): Annie M. Alexander,,,2023-12-28T00:40:54.514Z,,COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,1779
909,,1145842088,0daed095-478a-4af6-abf5-18acb790fbb2,http://arctos.database.museum/guid/MVZ:Mamm:50246?seid=1544104,Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,Sorex,Sorex,Sorex monticolus,Sorex monticolus,monticolus,SUBSPECIES,Sorex monticolus monticolus,Sorex monticola monticola,,US,"""Marijilda Canyon, Graham Mts.""",Arizona,PRESENT,,8edbbde0-055e-11d8-b850-b8a03c50a862,32.6815585,-109.8188287,5003,,2621,0,,,7/3/1931 0:00,3,7,1931,7194087,2436019,PRESERVED_SPECIMEN,MVZ,Mamm,MVZ:Mamm:50246,Annie M. Alexander 923,James L. Patton,8/21/2020 0:00,CC0_1_0,,Collector(s): Annie M. Alexander,,,2023-12-28T00:40:55.017Z,,COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,1779
910,,1145842087,0daed095-478a-4af6-abf5-18acb790fbb2,http://arctos.database.museum/guid/MVZ:Mamm:50249?seid=899600,Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,Sorex,Sorex,Sorex monticolus,Sorex monticolus,monticolus,SUBSPECIES,Sorex monticolus monticolus,Sorex monticola monticola,,US,"""Marijilda Canyon, Graham Mts.""",Arizona,PRESENT,,8edbbde0-055e-11d8-b850-b8a03c50a862,32.6815585,-109.8188287,5003,,2621,0,,,7/3/1931 0:00,3,7,1931,7194087,2436019,PRESERVED_SPECIMEN,MVZ,Mamm,MVZ:Mamm:50249,Louise Kellogg 936,James L. Patton,8/21/2020 0:00,CC0_1_0,,Collector(s): Louise Kellogg,,,2023-12-28T00:40:43.068Z,,COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,1779
911,,1145842065,0daed095-478a-4af6-abf5-18acb790fbb2,http://arctos.database.museum/guid/MVZ:Mamm:50248?seid=407841,Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,Sorex,Sorex,Sorex monticolus,Sorex monticolus,monticolus,SUBSPECIES,Sorex monticolus monticolus,Sorex monticola monticola,,US,"""Marijilda Canyon, Graham Mts.""",Arizona,PRESENT,,8edbbde0-055e-11d8-b850-b8a03c50a862,32.6815585,-109.8188287,5003,,2621,0,,,7/3/1931 0:00,3,7,1931,7194087,2436019,PRESERVED_SPECIMEN,MVZ,Mamm,MVZ:Mamm:50248,Louise Kellogg 935,James L. Patton,8/21/2020 0:00,CC0_1_0,,Collector(s): Louise Kellogg,,,2023-12-28T00:40:43.889Z,,COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,1779
119,,2381394990,a9ae9ece-e753-4fb9-8595-a37d0f5aa59c,urn:catalog:SDNHM:Mammals:11028,Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,Sorex,Sorex,Sorex monticolus,Sorex monticolus,,SPECIES,"""Sorex monticolus Merriam, 1890""",Sorex monticolus,,US,"""Santa Catalina Mts., Summerhaven""",Arizona,PRESENT,,8a471700-4ce8-11db-b80e-b8a03c50a862,32.4388,-110.7595,,,,,,,8/12/1934 0:00,12,8,1934,2436019,2436019,PRESERVED_SPECIMEN,SDNHM,Mammals,11028,,,,CC0_1_0,,S. G. Harter,,Native,2023-09-07T09:44:11.759Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH,2347
429,,1897608548,4a3421d3-e83f-4d30-b0b9-6658c9f047b6,b26ab3875805d626cce3526c5cc1d201,Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,Sorex,Sorex,Sorex arizonae,Sorex arizonae,,SPECIES,"""Sorex arizonae Diersing & Hoffmeister, 1977""",Sorex arizonae,"""Diersing & Hoffmeister, 1977""",US,"""15 Mi S Ft. Huachuca, Upper End Of Miller Canyon""",Arizona,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,31.404345,-110.29707,,,0,0,0,0,8/24/1949 0:00,24,8,1949,2435958,2435958,PRESERVED_SPECIMEN,MSB-UNM,MSB,192457,,Woodrow Goodpaster,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Woodrow Goodpaster,,,2023-09-07T05:04:00.041Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,2168
439,,1897608537,4a3421d3-e83f-4d30-b0b9-6658c9f047b6,a1d12580aa7a1cab801597a0e0b23331,Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,Sorex,Sorex,Sorex arizonae,Sorex arizonae,,SPECIES,"""Sorex arizonae Diersing & Hoffmeister, 1977""",Sorex arizonae,"""Diersing & Hoffmeister, 1977""",US,"""15 Mi S Ft. Huachuca, Upper End Of Miller Canyon""",Arizona,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,31.404345,-110.29707,,,0,0,0,0,8/27/1949 0:00,27,8,1949,2435958,2435958,PRESERVED_SPECIMEN,MSB-UNM,MSB,192458,,Woodrow Goodpaster,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Woodrow Goodpaster,,,2023-09-07T05:04:00.050Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,2168
