OID_,OID1,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,genus_mdd,species,species_mdd,identification_status,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,sky_island,Z
75136,,1145369440,b15d4952-7d20-46f1-8a3e-556a512b04c5,http://arctos.database.museum/guid/MSB:Mamm:78000?seid=1551175,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus,Ammospermophilus leucurus,Ammospermophilus leucurus,"Flagged; out of range, likely Ammospermophilus harrisi",,SPECIES,"""Ammospermophilus leucurus (Merriam, 1889)""",Ammospermophilus leucurus,,US,"""AVAR VALLEY, 15 MI NW TUCSON, 2400FT; 3355N 1092030W""",Arizona,PRESENT,,939ed180-aa7b-11db-8edf-b8a03c50a862,31.91667,-109.34167,2488,,,,,,1994-02-28 0:00:00,28,2,1994,2437570,2437570,PRESERVED_SPECIMEN,MSB,Mamm,MSB:Mamm:78000,,unknown,2005-02-15 0:00:00,CC0_1_0,,,,,2023-12-28T00:35:19.062Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,chiricahua,2277
75135,,1145369446,b15d4952-7d20-46f1-8a3e-556a512b04c5,http://arctos.database.museum/guid/MSB:Mamm:78002?seid=535954,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus,Ammospermophilus leucurus,Ammospermophilus leucurus,"Flagged; out of range, likely Ammospermophilus harrisi",,SPECIES,"""Ammospermophilus leucurus (Merriam, 1889)""",Ammospermophilus leucurus,,US,"""AVAR VALLEY, 15 MI NW TUCSON, 2400FT; 3355N 1092030W""",Arizona,PRESENT,,939ed180-aa7b-11db-8edf-b8a03c50a862,31.91667,-109.34167,2488,,,,,,1994-02-28 0:00:00,28,2,1994,2437570,2437570,PRESERVED_SPECIMEN,MSB,Mamm,MSB:Mamm:78002,,unknown,2005-02-15 0:00:00,CC0_1_0,,,,,2023-12-28T00:35:13.153Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,chiricahua,2277
75132,,1145369451,b15d4952-7d20-46f1-8a3e-556a512b04c5,http://arctos.database.museum/guid/MSB:Mamm:77997?seid=72786,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus,Ammospermophilus leucurus,Ammospermophilus leucurus,"Flagged; out of range, likely Ammospermophilus harrisi",,SPECIES,"""Ammospermophilus leucurus (Merriam, 1889)""",Ammospermophilus leucurus,,US,"""AVAR VALLEY, 15 MI NW TUCSON, 2400FT; 3355N 1092030W""",Arizona,PRESENT,,939ed180-aa7b-11db-8edf-b8a03c50a862,31.91667,-109.34167,2488,,,,,,1994-02-28 0:00:00,28,2,1994,2437570,2437570,PRESERVED_SPECIMEN,MSB,Mamm,MSB:Mamm:77997,,unknown,2005-02-15 0:00:00,CC0_1_0,,,,,2023-12-28T00:35:02.299Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,chiricahua,2277
75131,,1145369457,b15d4952-7d20-46f1-8a3e-556a512b04c5,http://arctos.database.museum/guid/MSB:Mamm:78001?seid=429163,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus,Ammospermophilus leucurus,Ammospermophilus leucurus,"Flagged; out of range, likely Ammospermophilus harrisi",,SPECIES,"""Ammospermophilus leucurus (Merriam, 1889)""",Ammospermophilus leucurus,,US,"""AVAR VALLEY, 15 MI NW TUCSON, 2400FT; 3355N 1092030W""",Arizona,PRESENT,,939ed180-aa7b-11db-8edf-b8a03c50a862,31.91667,-109.34167,2488,,,,,,1994-02-28 0:00:00,28,2,1994,2437570,2437570,PRESERVED_SPECIMEN,MSB,Mamm,MSB:Mamm:78001,,unknown,2005-02-15 0:00:00,CC0_1_0,,,,,2023-12-28T00:35:12.957Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,chiricahua,2277
75129,,1145369463,b15d4952-7d20-46f1-8a3e-556a512b04c5,http://arctos.database.museum/guid/MSB:Mamm:77996?seid=1171788,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus,Ammospermophilus leucurus,Ammospermophilus leucurus,"Flagged; out of range, likely Ammospermophilus harrisi",,SPECIES,"""Ammospermophilus leucurus (Merriam, 1889)""",Ammospermophilus leucurus,,US,"""AVAR VALLEY, 15 MI NW TUCSON, 2400FT; 3355N 1092030W""",Arizona,PRESENT,,939ed180-aa7b-11db-8edf-b8a03c50a862,31.91667,-109.34167,2488,,,,,,1994-02-28 0:00:00,28,2,1994,2437570,2437570,PRESERVED_SPECIMEN,MSB,Mamm,MSB:Mamm:77996,,unknown,2005-02-15 0:00:00,CC0_1_0,,,,,2023-12-28T00:35:20.945Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,chiricahua,2277
75115,,1145369482,b15d4952-7d20-46f1-8a3e-556a512b04c5,http://arctos.database.museum/guid/MSB:Mamm:77998?seid=143816,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus,Ammospermophilus leucurus,Ammospermophilus leucurus,"Flagged; out of range, likely Ammospermophilus harrisi",,SPECIES,"""Ammospermophilus leucurus (Merriam, 1889)""",Ammospermophilus leucurus,,US,"""AVAR VALLEY, 15 MI NW TUCSON, 2400FT; 3355N 1092030W""",Arizona,PRESENT,,939ed180-aa7b-11db-8edf-b8a03c50a862,31.91667,-109.34167,2488,,,,,,1994-02-28 0:00:00,28,2,1994,2437570,2437570,PRESERVED_SPECIMEN,MSB,Mamm,MSB:Mamm:77998,,unknown,2005-02-15 0:00:00,CC0_1_0,,,,,2023-12-28T00:35:12.956Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,chiricahua,2277
75113,,1145369484,b15d4952-7d20-46f1-8a3e-556a512b04c5,http://arctos.database.museum/guid/MSB:Mamm:77995?seid=514605,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus,Ammospermophilus leucurus,Ammospermophilus leucurus,"Flagged; out of range, likely Ammospermophilus harrisi",,SPECIES,"""Ammospermophilus leucurus (Merriam, 1889)""",Ammospermophilus leucurus,,US,"""AVAR VALLEY, 15 MI NW TUCSON, 2400FT; 3355N 1092030W""",Arizona,PRESENT,,939ed180-aa7b-11db-8edf-b8a03c50a862,31.91667,-109.34167,2488,,,,,,1994-02-28 0:00:00,28,2,1994,2437570,2437570,PRESERVED_SPECIMEN,MSB,Mamm,MSB:Mamm:77995,,unknown,2005-02-15 0:00:00,CC0_1_0,,,,,2023-12-28T00:35:13.153Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,chiricahua,2277
75090,,1145369510,b15d4952-7d20-46f1-8a3e-556a512b04c5,http://arctos.database.museum/guid/MSB:Mamm:77999?seid=1343408,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus,Ammospermophilus leucurus,Ammospermophilus leucurus,"Flagged; out of range, likely Ammospermophilus harrisi",,SPECIES,"""Ammospermophilus leucurus (Merriam, 1889)""",Ammospermophilus leucurus,,US,"""AVAR VALLEY, 15 MI NW TUCSON, 2400FT; 3355N 1092030W""",Arizona,PRESENT,,939ed180-aa7b-11db-8edf-b8a03c50a862,31.91667,-109.34167,2488,,,,,,1994-02-28 0:00:00,28,2,1994,2437570,2437570,PRESERVED_SPECIMEN,MSB,Mamm,MSB:Mamm:77999,,unknown,2005-02-15 0:00:00,CC0_1_0,,,,,2023-12-28T00:35:19.112Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,chiricahua,2277
32120,,2005725085,4837d6b0-19fe-4fe4-9ddf-b62dd17a060e,http://arctos.database.museum/guid/CHAS:Mamm:4504?seid=4236349,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys,Thomomys talpoides,Thomomys talpoides,"Flagged; out of range, likely Megascapheus bottae, M. fulvous, or M. umbrinus",,SPECIES,"""Thomomys talpoides (Richardson, 1828)""",Thomomys talpoides,,US,"""Mount Graham, Columbine""",Arizona,PRESENT,,f2489500-dbab-4fbc-95ed-19eead127483,32.701735,-109.871468,5185,,,,,,1940-06-07 0:00:00,7,6,1940,2439383,2439383,PRESERVED_SPECIMEN,CHAS,Mamm,CHAS:Mamm:4504,,unknown,,CC0_1_0,,Collector(s): Thurston I. Wright,,,2023-12-27T17:13:10.338Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;MODIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY,pinaleno,3263
32110,,2005725105,4837d6b0-19fe-4fe4-9ddf-b62dd17a060e,http://arctos.database.museum/guid/CHAS:Mamm:4501?seid=4236346,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys,Thomomys talpoides,Thomomys talpoides,"Flagged; out of range, likely Megascapheus bottae, M. fulvous, or M. umbrinus",,SPECIES,"""Thomomys talpoides (Richardson, 1828)""",Thomomys talpoides,,US,"""Mount Graham, Columbine""",Arizona,PRESENT,,f2489500-dbab-4fbc-95ed-19eead127483,32.701735,-109.871468,5185,,,,,,1940-06-07 0:00:00,7,6,1940,2439383,2439383,PRESERVED_SPECIMEN,CHAS,Mamm,CHAS:Mamm:4501,,unknown,,CC0_1_0,,Collector(s): Thurston I. Wright,,,2023-12-27T17:13:10.486Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;MODIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY,pinaleno,3263
