gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,genus_mdd,species,species_mdd,identifica_status,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,locality_norm,sky_island,matched_term
897126462,8855595b-a836-4557-b17b-794aadda747a,https://arctos.database.museum/guid/WNMU:Mamm:3064,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis,Myotis leibii,Myotis leibii,"Flagged; well out of range, likely Myotis ciliolabrum or M. californicus",,SPECIES,"Myotis leibii (Audubon & Bachman, 1842)",Myotis leibii,,US,"ALAMO HUECO MTNS, SYCAMORE WELL; Township 33S, Range 14W, Section 31",New Mexico,PRESENT,NA,4f1bbd8f-a4ad-40dd-b098-283792d3679b,NA,NA,NA,NA,NA,NA,NA,NA,1975-10-19,19,10,1975,2432455,2432455,PRESERVED_SPECIMEN,WNMU,Mammalogy,WNMU:Mamm:3064,,unknown,2007-03-01 0:00:00,CC0_1_0,,Collector(s): Joseph A. Cook,,,2025-10-08T02:02:29.667Z,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,alamo hueco mtns sycamore well township 33s range 14w section 31,alamo_hueco,alamo hueco
897126374,8855595b-a836-4557-b17b-794aadda747a,https://arctos.database.museum/guid/WNMU:Mamm:2986,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis,Myotis leibii,Myotis leibii,"Flagged; well out of range, likely Myotis ciliolabrum or M. californicus",,SPECIES,"Myotis leibii (Audubon & Bachman, 1842)",Myotis leibii,,US,"ALAMO HUECO MTNS, SYCAMORE WELL; Township 33S, Range 14W, Section 31",New Mexico,PRESENT,NA,4f1bbd8f-a4ad-40dd-b098-283792d3679b,NA,NA,NA,NA,1504,0,NA,NA,1975-10-18,18,10,1975,2432455,2432455,PRESERVED_SPECIMEN,WNMU,Mammalogy,WNMU:Mamm:2986,,unknown,2007-03-01 0:00:00,CC0_1_0,,,,,2025-10-08T02:02:29.599Z,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,alamo hueco mtns sycamore well township 33s range 14w section 31,alamo_hueco,alamo hueco
897127807,8855595b-a836-4557-b17b-794aadda747a,https://arctos.database.museum/guid/WNMU:Mamm:4280,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis,Myotis leibii,Myotis leibii,"Flagged; well out of range, likely Myotis ciliolabrum or M. californicus",,SPECIES,"Myotis leibii (Audubon & Bachman, 1842)",Myotis leibii,,US,"ALAMO HUECO MTNS; Township 33S, Range 14W, Section 31",New Mexico,PRESENT,NA,4f1bbd8f-a4ad-40dd-b098-283792d3679b,NA,NA,NA,NA,1504,0,NA,NA,1975-10-18,18,10,1975,2432455,2432455,PRESERVED_SPECIMEN,WNMU,Mammalogy,WNMU:Mamm:4280,,unknown,2007-03-01 0:00:00,CC0_1_0,,,,,2025-10-08T02:02:29.680Z,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,alamo hueco mtns township 33s range 14w section 31,alamo_hueco,alamo hueco
897127579,8855595b-a836-4557-b17b-794aadda747a,https://arctos.database.museum/guid/WNMU:Mamm:4075,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis,Myotis leibii,Myotis leibii,"Flagged; well out of range, likely Myotis ciliolabrum or M. californicus",,SPECIES,"Myotis leibii (Audubon & Bachman, 1842)",Myotis leibii,,US,"ALAMO HUECO MTNS, EMORY CANYON; Township 33S, Range 14W, Section 11",New Mexico,PRESENT,NA,4f1bbd8f-a4ad-40dd-b098-283792d3679b,NA,NA,NA,NA,1524,0,NA,NA,1977-07-03,3,7,1977,2432455,2432455,PRESERVED_SPECIMEN,WNMU,Mammalogy,WNMU:Mamm:4075,,unknown,2007-03-01 0:00:00,CC0_1_0,,Collector(s): Bruce J. Hayward,,,2025-10-08T02:02:29.531Z,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,alamo hueco mtns emory canyon township 33s range 14w section 11,alamo_hueco,alamo hueco
897126775,8855595b-a836-4557-b17b-794aadda747a,https://arctos.database.museum/guid/WNMU:Mamm:3348,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis,Myotis leibii,Myotis leibii,"Flagged; well out of range, likely Myotis ciliolabrum or M. californicus",,SPECIES,"Myotis leibii (Audubon & Bachman, 1842)",Myotis leibii,,US,"ALAMO HUECO MTNS, EMORY CANYON; Township 33S, Range 14W, Section 11",New Mexico,PRESENT,NA,4f1bbd8f-a4ad-40dd-b098-283792d3679b,NA,NA,NA,NA,1524,0,NA,NA,1977-07-03,3,7,1977,2432455,2432455,PRESERVED_SPECIMEN,WNMU,Mammalogy,WNMU:Mamm:3348,,unknown,2007-03-01 0:00:00,CC0_1_0,,Collector(s): Bruce J. Hayward,,,2025-10-08T02:02:29.307Z,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,alamo hueco mtns emory canyon township 33s range 14w section 11,alamo_hueco,alamo hueco
897126867,8855595b-a836-4557-b17b-794aadda747a,https://arctos.database.museum/guid/WNMU:Mamm:3432,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis,Myotis leibii,Myotis leibii,"Flagged; well out of range, likely Myotis ciliolabrum or M. californicus",,SPECIES,"Myotis leibii (Audubon & Bachman, 1842)",Myotis leibii,,US,"ALAMO HUECO MTNS, STONE CABIN TANK; Township 33S, Range 14W, Section 29",New Mexico,PRESENT,NA,4f1bbd8f-a4ad-40dd-b098-283792d3679b,NA,NA,NA,NA,1448,0,NA,NA,1977-05-31,31,5,1977,2432455,2432455,PRESERVED_SPECIMEN,WNMU,Mammalogy,WNMU:Mamm:3432,,unknown,2007-03-01 0:00:00,CC0_1_0,,Collector(s): Bruce J. Hayward,,,2025-10-08T02:02:29.323Z,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,alamo hueco mtns stone cabin tank township 33s range 14w section 29,alamo_hueco,alamo hueco
897126878,8855595b-a836-4557-b17b-794aadda747a,https://arctos.database.museum/guid/WNMU:Mamm:3442,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis,Myotis leibii,Myotis leibii,"Flagged; well out of range, likely Myotis ciliolabrum or M. californicus",,SPECIES,"Myotis leibii (Audubon & Bachman, 1842)",Myotis leibii,,US,"ALAMO HUECO MTNS, SYCAMORE WELL; Township 33S, Range 14W, Section 31",New Mexico,PRESENT,NA,4f1bbd8f-a4ad-40dd-b098-283792d3679b,NA,NA,NA,NA,1494,0,NA,NA,1977-06-01,1,6,1977,2432455,2432455,PRESERVED_SPECIMEN,WNMU,Mammalogy,WNMU:Mamm:3442,,unknown,2007-03-01 0:00:00,CC0_1_0,,Collector(s): Bruce J. Hayward,,,2025-10-08T02:02:29.269Z,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,alamo hueco mtns sycamore well township 33s range 14w section 31,alamo_hueco,alamo hueco
897126889,8855595b-a836-4557-b17b-794aadda747a,https://arctos.database.museum/guid/WNMU:Mamm:3452,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis,Myotis leibii,Myotis leibii,"Flagged; well out of range, likely Myotis ciliolabrum or M. californicus",,SPECIES,"Myotis leibii (Audubon & Bachman, 1842)",Myotis leibii,,US,"ALAMO HUECO MTNS, WOOD CANYON; Township 33S, Range 15W, Section 7",New Mexico,PRESENT,NA,4f1bbd8f-a4ad-40dd-b098-283792d3679b,NA,NA,NA,NA,1509,0,NA,NA,1977-06-03,3,6,1977,2432455,2432455,PRESERVED_SPECIMEN,WNMU,Mammalogy,WNMU:Mamm:3452,,unknown,2007-03-01 0:00:00,CC0_1_0,,Collector(s): Bruce J. Hayward,,,2025-10-08T02:02:29.270Z,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,alamo hueco mtns wood canyon township 33s range 15w section 7,alamo_hueco,alamo hueco
897127731,8855595b-a836-4557-b17b-794aadda747a,https://arctos.database.museum/guid/WNMU:Mamm:4211,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Antrozous,Antrozous,Antrozous pallidus,Antrozous pallidus,valid,,SPECIES,"Antrozous pallidus (LeConte, 1856)",Antrozous pallidus,,US,"ALAMO HUECO MTNS, SYCAMORE WELL; Township 33S, Range 14W, Section 30",New Mexico,PRESENT,NA,4f1bbd8f-a4ad-40dd-b098-283792d3679b,NA,NA,NA,NA,1504,0,NA,NA,1975-10-18,18,10,1975,2432339,2432339,PRESERVED_SPECIMEN,WNMU,Mammalogy,WNMU:Mamm:4211,,unknown,2007-03-01 0:00:00,CC0_1_0,,,,,2025-10-08T02:02:29.682Z,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,alamo hueco mtns sycamore well township 33s range 14w section 30,alamo_hueco,alamo hueco
897126456,8855595b-a836-4557-b17b-794aadda747a,https://arctos.database.museum/guid/WNMU:Mamm:3059,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Antrozous,Antrozous,Antrozous pallidus,Antrozous pallidus,valid,,SPECIES,"Antrozous pallidus (LeConte, 1856)",Antrozous pallidus,,US,"ALAMO HUECO MTNS, SYCAMORE WELL; Township 33S, Range 14W, Section 31",New Mexico,PRESENT,NA,4f1bbd8f-a4ad-40dd-b098-283792d3679b,NA,NA,NA,NA,1504,0,NA,NA,1975-10-18,18,10,1975,2432339,2432339,PRESERVED_SPECIMEN,WNMU,Mammalogy,WNMU:Mamm:3059,,unknown,2007-03-01 0:00:00,CC0_1_0,,,,,2025-10-08T02:02:29.666Z,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,alamo hueco mtns sycamore well township 33s range 14w section 31,alamo_hueco,alamo hueco
