Mountain,Max_Elevation,Area,Ruggedness_Mean,Ruggedness_SD,State,Country,Rodent_Specimens_Georeferenced_Last_Year_of_Collection,Rodent_Specimens_Georeferenced,Rodent_Specimens_Georeferenced_per_km,Rodent_Specimens_Nongeoreferenced,Shrew_Specimens_Georeferenced_Last_Year_of_Collection,Shrew_Specimens_Georeferenced,Shrew_Specimens_Georeferenced_per_km,Shrew_Specimens_Nongeoreferenced,Bat_Specimens_Georeferenced_Last_Year_of_Collection,Bat_Specimens_Georeferenced,Bat_Specimens_Georeferenced_per_km,Bat_Specimens_Nongeoreferenced,All_Specimens_Georeferenced,All_Specimens_Georeferened_per_km,All_Specimens_Nongeoreferenced,Oak_Woodland_Area,Pine_Oak_Area,Pine_Forest_Area,Mixed_Conifer_Area,Limber_Alpine_Forest_Area
Alamo Hueco,2090,89.17077707,4.522957418,0.9133699544,NM,USA,1957,10,0.1121,106,No_record,0,0,0,1964,92,1.0317,69,102,1.143872503,175,74.35409346,14.81668361,0,0,0
Animas,2598,739.7703856,4.185908657,0.9793307522,"NM, CH","Mexico, USA",2008,722,0.976,269,1981,5,0.0068,24,2004,217,0.2933,29,944,1.276071628,322,507.874707,211.3906988,20.244656,0.2603237,0
Atascosa,1948,11.09441205,4.571072534,1.057402942,AZ,USA,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,10.19389885,0.900513204,0,0,0
Baboquivari,2262,69.59438378,4.708376482,0.9017555986,AZ,USA,1966,4,0.0575,88,No_record,0,0,0,1961,1,0.0144,4,5,0.071844878,92,53.32264355,16.24585491,0.025885325,0,0
Big Hatchet,2542,109.3229038,4.718467962,0.8100811102,NM,USA,2002,10,0.0915,115,No_record,0,0,0,No_record,0,0,17,10,0.09147214,132,74.36305144,31.5077742,3.452078211,0,0
Canelo Hills,1968,416.0869068,3.758408527,0.9336211701,"AZ, SO","Mexico, USA",1980,15,0.0361,0,1997,1,0.0024,0,1989,2,0.0048,0,18,0.043260193,0,402.9469901,13.13991664,0,0,0
Cerro Bacoachi,1707,3.791896553,4.350736947,0.8196873892,SO,Mexico,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,3.791896553,0,0,0,0
Cerro Bellotal,1942,35.63207975,4.779310147,0.5602283838,SO,Mexico,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,33.47001671,2.162063037,0,0,0
Chiricahua,2990,1769.870246,4.629619107,0.7466116166,AZ,USA,2009,2249,1.2707,1093,2003,63,0.0356,32,2009,808,0.4565,174,3120,1.762841093,1299,793.2483514,742.3246907,177.6687437,56.62846044,0
Dos Cabezas,2485,218.9945515,4.662199891,0.6902471922,AZ,USA,1987,3,0.0137,24,No_record,0,0,0,1962,1,0.0046,20,4,0.018265295,44,127.3721335,82.91014099,8.712276986,0,0
Dragoon,2275,252.4021687,4.458203908,0.8418525071,AZ,USA,1976,12,0.0475,7,No_record,0,0,0,No_record,0,0,0,12,0.047543173,7,170.5266441,81.24973873,0.62578585,0,0
Galiuro,2322,501.5656149,4.813011981,0.5277436659,AZ,USA,1973,36,0.0718,3,No_record,0,0,0,No_record,0,0,0,36,0.071775255,3,290.1500806,207.5355485,3.879985785,0,0
Huachuca,2875,357.8396604,4.805701888,0.5942075225,"AZ, SO","Mexico, USA",1997,940,2.6269,683,1997,61,0.1705,16,2010,339,0.9474,32,1340,3.744693918,731,105.8808213,185.6036942,58.14469186,8.2104531,0
Little Dragoon,2037,39.81184637,4.574917666,0.8990066331,AZ,USA,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,31.69977121,8.112075164,0,0,0
Little Hatchet,2017,35.46806647,4.422595437,1.040515659,NM,USA,1973,6,0.1692,0,No_record,0,0,0,1964,2,0.0564,0,8,0.225555008,0,32.12539663,3.342669845,0,0,0
